"accountNumber,agentId,totalDiskBytesReadPerSecond (Kbps),totalDiskBytesWrittenPerSecond (Kbps),totalDiskReadOpsPerSecond,totalDiskWriteOpsPerSecond,totalNetworkBytesReadPerSecond (Kbps),totalNetworkBytesWrittenPerSecond (Kbps),totalNumLogicalProcessors,totalNumCores,totalNumCpus,totalNumDisks,totalNumNetworkCards,totalCpuUsagePct,totalDiskSize (GB),totalDiskFreeSize (GB),totalRAM (MB),freeRAM (MB),timestamp"
"702024837763,o-2la05sedkhh8lb14p,0.004435078125,4.91140625,0.00110877,0.697506,0.15911328125,0.09692119140625,1,1,1,1,1,0.253111,7.988262176513672,6.455226898193359,1024.0,825.8125,2019-08-12 12:30:07"
"702024837763,o-2wvok4wdo3tsbhh4d,0.0,4.8142578125,0.0,0.731697,0.2461474609375,0.8726513671875,1,1,1,1,1,0.299956,7.988262176513672,6.5646209716796875,1024.0,784.56640625,2019-08-12 06:00:14"
"702024837763,o-2wvok4wdo3tsbhh4d,1.415732421875,4.193994140625,0.0159643,0.617396,0.1408271484375,0.1900078125,1,1,1,1,1,0.237154,7.988262176513672,6.563911437988281,1024.0,824.08984375,2019-08-12 09:30:00"
"702024837763,o-2wvok4wdo3tsbhh4d,0.146115234375,4.4735546875,0.00774851,0.678606,0.1568916015625,0.09559580078125,1,1,1,1,1,0.249788,7.988262176513672,6.564014434814453,1024.0,823.4375,2019-08-12 09:45:01"
"702024837763,o-2wvok4wdo3tsbhh4d,2.68306640625,15.3099609375,0.0665232,1.7518,0.2486337890625,0.3195791015625,1,1,1,1,1,0.939001,7.988262176513672,6.464855194091797,1024.0,787.53515625,2019-08-12 10:15:05"
"702024837763,o-2wvok4wdo3tsbhh4d,0.0,3.69291015625,0.0,0.522255,0.1625908203125,0.0961990234375,1,1,1,1,1,0.245342,7.988262176513672,6.4647674560546875,1024.0,787.57421875,2019-08-12 10:30:07"
"702024837763,o-2wvok4wdo3tsbhh4d,0.0,4.502998046875,0.0,0.656323,0.1509013671875,0.0883208984375,1,1,1,1,1,0.249781,7.988262176513672,6.4647979736328125,1024.0,787.453125,2019-08-12 10:45:09"
"702024837763,o-2wvok4wdo3tsbhh4d,15.39482421875,407.9541015625,1.55963,7.15519,30.4986328125,0.6042666015625,1,1,1,1,1,3.63162,7.988262176513672,6.414737701416016,1024.0,781.67578125,2019-08-12 10:00:03"
"702024837763,o-2wvok4wdo3tsbhh4d,0.0,4.682236328125,0.0,0.702953,0.1688056640625,0.100560546875,1,1,1,1,1,0.256451,7.988262176513672,6.464702606201172,1024.0,794.94140625,2019-08-12 11:15:13"
"702024837763,o-2wvok4wdo3tsbhh4d,0.0,4.41484375,0.0,0.633148,0.1583310546875,0.1190693359375,1,1,1,1,1,0.320901,7.988262176513672,6.464775085449219,1024.0,787.58984375,2019-08-12 11:00:11"
"702024837763,o-2wvok4wdo3tsbhh4d,0.1488564453125,5.073095703125,0.00225532,0.743176,0.1665869140625,0.0943458984375,1,1,1,1,1,0.247282,7.988262176513672,6.464775085449219,1024.0,796.11328125,2019-08-12 11:30:00"
"702024837763,o-2wvok4wdo3tsbhh4d,0.0,4.39119140625,0.0,0.641015,0.1628876953125,0.0946228515625,1,1,1,1,1,0.234279,7.988262176513672,6.464618682861328,1024.0,796.01953125,2019-08-12 11:45:01"
"702024837763,o-1q0veugfnt9wotybl,0.0,3.92498046875,0.0,0.490633,0.12888671875,0.0700162109375,1,1,1,1,1,0.257904,9.77859878540039,8.501594543457031,985.8359375,788.16796875,2019-06-28 12:30:04"
"702024837763,o-1q0veugfnt9wotybl,0.63865625,3.703388671875,0.0088703,0.451282,0.1293212890625,0.12103515625,1,1,1,1,1,0.24293,9.77859878540039,8.50155258178711,985.8359375,787.91015625,2019-06-28 12:45:06"
"702024837763,o-1q0veugfnt9wotybl,0.0,4.84322265625,0.0,0.5799,0.220341796875,0.1817744140625,1,1,1,1,1,0.287332,9.77859878540039,8.501407623291016,985.8359375,787.6875,2019-06-28 13:00:08"
"702024837763,o-1q0veugfnt9wotybl,0.00443515625,4.044716796875,0.00110879,0.493394,0.1530830078125,0.0911005859375,1,1,1,1,1,0.255126,9.77859878540039,8.501365661621094,985.8359375,787.21875,2019-06-28 13:15:09"
"702024837763,o-1q0veugfnt9wotybl,0.0,3.73869140625,0.0,0.456803,0.1417080078125,0.094900390625,1,1,1,1,1,0.249577,9.77859878540039,8.50130844116211,985.8359375,786.5625,2019-06-28 13:45:13"
"702024837763,o-1q0veugfnt9wotybl,0.0,3.6721875,0.0,0.453478,0.1343203125,0.06796826171875,1,1,1,1,1,0.255116,9.77859878540039,8.501338958740234,985.8359375,786.9765625,2019-06-28 13:30:11"
"702024837763,o-1q0veugfnt9wotybl,0.8344189453125,3.603759765625,0.0124035,0.437504,0.129986328125,0.07015498046875,1,1,1,1,1,0.251549,9.77859878540039,8.50125503540039,985.8359375,787.75390625,2019-06-28 14:00:00"
"702024837763,o-1q0veugfnt9wotybl,0.0,3.614580078125,0.0,0.439069,0.1329072265625,0.0577908203125,1,1,1,1,1,0.252898,9.77859878540039,8.501228332519531,985.8359375,786.6171875,2019-06-28 14:15:02"
"702024837763,o-1q0veugfnt9wotybl,5.556298828125,4.205634765625,0.375668,0.524403,0.1497548828125,0.08567451171875,1,1,1,1,1,0.265037,9.77859878540039,8.50101089477539,985.8359375,801.84765625,2019-07-01 11:30:13"
"702024837763,o-1q0veugfnt9wotybl,0.33136328125,3.6801171875,0.0112965,0.449349,0.2842607421875,0.366208984375,1,1,1,1,1,0.263746,9.77859878540039,8.500984191894531,985.8359375,801.203125,2019-07-01 11:45:15"
"702024837763,o-1q0veugfnt9wotybl,0.0,3.716318359375,0.0,0.461156,0.404046875,0.522919921875,1,1,1,1,1,0.258407,9.77859878540039,8.500957489013672,985.8359375,801.17578125,2019-07-01 12:00:01"
"702024837763,o-1q0veugfnt9wotybl,0.0,3.716318359375,0.0,0.461156,0.404046875,0.522919921875,1,1,1,1,1,0.258407,9.77859878540039,8.500957489013672,985.8359375,801.17578125,2019-07-01 12:00:01"
"702024837763,o-1q0veugfnt9wotybl,1.955791015625,3.955732421875,0.059871,0.492247,0.43312890625,0.4829765625,1,1,1,1,1,0.286301,9.77859878540039,8.500923156738281,985.8359375,800.5546875,2019-07-01 12:15:03"
"702024837763,o-1q0veugfnt9wotybl,4.406953125,7.93716796875,0.772548,0.727242,0.40187109375,0.457509765625,1,1,1,1,1,0.304664,9.77859878540039,8.500862121582031,985.8359375,797.2109375,2019-07-01 12:30:05"
"702024837763,o-1q0veugfnt9wotybl,4.406953125,7.93716796875,0.772548,0.727242,0.40187109375,0.457509765625,1,1,1,1,1,0.304664,9.77859878540039,8.500862121582031,985.8359375,797.2109375,2019-07-01 12:30:05"
"702024837763,o-u9kiqngsh0lac1fpt,0.1473056640625,3.68728515625,0.0166315,0.445465,0.1336572265625,0.06853447265625,1,1,1,1,1,0.25553,7.809970855712891,6.555450439453125,985.8359375,791.578125,2019-06-28 12:15:02"
"702024837763,o-u9kiqngsh0lac1fpt,35.0474609375,11.5609375,6.75097,0.967868,0.14858203125,0.1364619140625,1,1,1,1,1,1.42313,7.809970855712891,6.553874969482422,985.8359375,788.1484375,2019-06-28 12:30:04"
"702024837763,o-u9kiqngsh0lac1fpt,0.004435322265625,3.823046875,0.00110883,0.461248,0.1261396484375,0.091193359375,1,1,1,1,1,0.24405,7.809970855712891,6.553779602050781,985.8359375,787.28515625,2019-06-28 13:15:10"
"702024837763,o-u9kiqngsh0lac1fpt,0.00443529296875,3.7433203125,0.00110882,0.460153,0.139982421875,0.0894470703125,1,1,1,1,1,0.239616,7.809970855712891,6.5538482666015625,985.8359375,787.9765625,2019-06-28 12:45:06"
"702024837763,o-u9kiqngsh0lac1fpt,0.0,3.676796875,0.0,0.445739,0.127314453125,0.06066689453125,1,1,1,1,1,0.245156,7.809970855712891,6.553813934326172,985.8359375,786.6328125,2019-06-28 13:00:08"
"702024837763,o-u9kiqngsh0lac1fpt,0.0,3.7032421875,0.0,0.44461,0.1292939453125,0.0800724609375,1,1,1,1,1,0.246265,7.809970855712891,6.553752899169922,985.8359375,787.24609375,2019-06-28 13:30:12"
"702024837763,o-u9kiqngsh0lac1fpt,0.0,3.752265625,0.0,0.449074,0.135359375,0.06230810546875,1,1,1,1,1,0.248492,7.809970855712891,6.5537261962890625,985.8359375,788.078125,2019-06-28 13:45:14"
"702024837763,o-u9kiqngsh0lac1fpt,0.0,3.81587890625,0.0,0.452171,0.1366162109375,0.1061103515625,1,1,1,1,1,0.247065,7.809970855712891,6.553672790527344,985.8359375,788.15625,2019-06-28 14:00:00"
"702024837763,o-u9kiqngsh0lac1fpt,0.0,3.920751953125,0.0,0.467918,0.153138671875,0.0694708984375,1,1,1,1,1,0.262886,7.809970855712891,6.553638458251953,985.8359375,788.1796875,2019-06-28 14:15:02"
"702024837763,o-u9kiqngsh0lac1fpt,0.9163369140625,3.783154296875,0.0396749,0.451783,0.133357421875,0.06816376953125,1,1,1,1,1,0.211265,7.809970855712891,6.553459167480469,985.8359375,814.21875,2019-07-01 11:30:03"
"702024837763,o-u9kiqngsh0lac1fpt,3.938349609375,4.11712890625,0.282764,0.49246,0.17759765625,0.1691220703125,1,1,1,1,1,0.243124,7.809970855712891,6.553401947021484,985.8359375,803.48828125,2019-07-01 11:45:05"
"702024837763,o-u9kiqngsh0lac1fpt,0.9163369140625,3.783154296875,0.0396749,0.451783,0.133357421875,0.06816376953125,1,1,1,1,1,0.211265,7.809970855712891,6.553459167480469,985.8359375,814.21875,2019-07-01 11:30:03"
"702024837763,o-u9kiqngsh0lac1fpt,0.0,3.632626953125,0.0,0.444653,0.132234375,0.083386328125,1,1,1,1,1,0.237425,7.809970855712891,6.553375244140625,985.8359375,803.22265625,2019-07-01 12:00:07"
"702024837763,o-u9kiqngsh0lac1fpt,0.2173076171875,3.87615234375,0.0210657,0.476765,0.1282626953125,0.05937392578125,1,1,1,1,1,0.252943,7.809970855712891,6.5533447265625,985.8359375,801.8203125,2019-07-01 12:15:09"
"702024837763,o-u9kiqngsh0lac1fpt,6.132529296875,8.05765625,0.834691,0.726209,0.1587880859375,0.097703125,1,1,1,1,1,0.283905,7.809970855712891,6.553279876708984,985.8359375,799.6171875,2019-07-01 12:30:11"
"702024837763,o-u9kiqngsh0lac1fpt,0.0,3.71203125,0.0,0.438634,0.1244150390625,0.0823015625,1,1,1,1,1,0.241422,7.809970855712891,6.5532073974609375,985.8359375,798.36328125,2019-07-01 13:15:01"
"702024837763,o-u9kiqngsh0lac1fpt,0.0,3.756826171875,0.0,0.455742,0.1208642578125,0.07617314453125,1,1,1,1,1,0.237422,7.809970855712891,6.553256988525391,985.8359375,799.56640625,2019-07-01 12:45:12"
"702024837763,o-u9kiqngsh0lac1fpt,0.0,3.6592578125,0.0,0.433566,0.1268740234375,0.05906328125,1,1,1,1,1,0.239637,7.809970855712891,6.553230285644531,985.8359375,799.375,2019-07-01 13:00:14"
